id,rating,title,content,author,date,helpful,votes,verified_purchase
27,3,"케이스 뚜껑 유격이 조금 있어요","사용에는 문제 없지만 뚜껑을 흔들면 미세한 소리가 납니다.","노예준","2026-01-31",8,12,true
28,5,"게임 지연이 낮습니다","저지연 모드를 켜니 모바일 게임에서 발소리와 화면 싱크가 잘 맞았습니다.","민하늘","2026-02-01",26,28,true
29,4,"출퇴근용으로 딱입니다","노이즈 캔슬링과 배터리 모두 안정적입니다. 케이스가 가벼운 점도 좋습니다.","신아린","2026-02-02",18,19,true
30,5,"음악 듣는 맛이 살아나요","기존 이어폰보다 악기 분리가 좋아서 오래된 플레이리스트를 다시 듣고 있습니다.","하준영","2026-02-03",34,36,true
31,4,"통화 노이즈 억제가 괜찮습니다","사무실 키보드 소리는 많이 줄여줍니다. 큰 도로 옆에서는 조금 한계가 있습니다.","차유리","2026-02-04",16,20,true
32,5,"장시간 착용에도 부담이 적어요","오전 회의부터 오후 산책까지 사용했는데 귀가 덜 피곤했습니다.","김도하","2026-02-05",29,31,true
33,2,"터치 제어 위치가 애매합니다","볼륨 조절할 때 유닛을 자주 건드려서 착용 위치가 흐트러집니다.","이하준","2026-02-06",12,23,true
34,5,"프리미엄 느낌이 확실해요","마감과 소리 모두 가격대에 맞는 완성도입니다. 할인 때 사면 더 만족스럽습니다.","박소율","2026-02-07",38,40,true
35,4,"보컬 중심 음악에 좋아요","목소리가 앞으로 나오고 치찰음은 크게 거슬리지 않습니다. 발라드 듣기에 좋습니다.","최민재","2026-02-08",14,16,true
36,5,"노트북과 휴대폰 전환이 편합니다","회의 끝나고 바로 휴대폰 음악으로 넘어가도 끊김이 거의 없었습니다.","정서아","2026-02-09",23,25,true
37,3,"저음이 제 취향보다는 약해요","깔끔한 소리는 좋은데 강한 베이스를 기대하면 조금 심심할 수 있습니다.","한지민","2026-02-10",10,14,true
38,5,"외출 필수품이 됐습니다","가볍고 연결이 안정적이라 매일 챙기게 됩니다. 케이스 배터리도 넉넉합니다.","오현서","2026-02-11",31,33,true
39,4,"충전 속도가 빠릅니다","잠깐 케이스에 넣어두면 금방 사용할 수 있어 급할 때 좋습니다.","문태오","2026-02-12",17,18,true
40,5,"리뷰 보고 샀는데 만족","평이 좋아서 샀는데 실제로도 음질과 착용감이 균형 잡혔습니다.","강하윤","2026-02-13",21,22,true
41,1,"한쪽 연결 끊김이 반복됩니다","초기화해도 오른쪽 유닛이 가끔 끊깁니다. 서비스 점검을 받아볼 예정입니다.","신우빈","2026-02-14",9,31,true
42,4,"케이스 LED가 보기 쉬워요","배터리 상태를 확인하기 쉽고 충전 상태도 직관적입니다.","윤채원","2026-02-15",8,10,true
43,5,"소음 많은 버스에서 효과적","엔진음이 확 줄어서 작은 볼륨으로도 음악을 즐길 수 있었습니다.","배준호","2026-02-16",37,39,true
44,4,"착용 테스트는 필요합니다","저에게는 편했지만 가족은 살짝 크다고 했습니다. 팁 선택이 중요합니다.","임서현","2026-02-17",11,13,true
45,5,"클래식 듣기에 좋습니다","현장감이 넓고 악기 위치가 자연스럽게 느껴집니다. 해상도도 만족합니다.","서지완","2026-02-18",19,21,true
46,3,"바람 소리 억제는 보통","실내 성능은 좋지만 자전거 탈 때는 바람 소리가 꽤 들어옵니다.","장나은","2026-02-19",13,18,true
47,5,"안정적인 블루투스 연결","엘리베이터나 지하철에서도 끊김이 적었습니다. 이전 제품보다 확실히 낫습니다.","권태양","2026-02-20",25,26,true
48,4,"앱 EQ가 유용합니다","취향에 맞게 저음과 고음을 조절할 수 있어 여러 장르에 대응하기 좋습니다.","조예나","2026-02-21",16,17,true
49,5,"출근길 집중용으로 최고","ANC를 켜면 주변이 조용해져서 오디오북 듣기에 정말 좋습니다.","송민규","2026-02-22",32,34,true
50,2,"케이스 스크래치가 잘 납니다","성능은 만족하지만 케이스 표면이 생각보다 쉽게 긁혀서 보호 케이스가 필요합니다.","남서아","2026-02-23",15,24,true
51,5,"통화 상대가 잘 들린다고 해요","화상회의에서 목소리가 또렷하다는 말을 들었습니다. 업무용으로 만족합니다.","유건우","2026-02-24",28,30,true
52,4,"무게가 가벼워요","이어버드가 작고 가벼워서 산책할 때 부담이 없습니다. 장거리 이동에 좋습니다.","홍예진","2026-02-25",18,19,true
53,5,"저음과 고음 밸런스가 좋습니다","팝과 재즈를 번갈아 들어도 튜닝이 안정적입니다. 소리가 답답하지 않습니다.","안지후","2026-02-26",22,24,true
54,3,"기본 팁은 제 귀에 안 맞았어요","기본 팁은 밀폐가 약했지만 작은 팁으로 바꾸니 ANC와 저음이 좋아졌습니다.","백서윤","2026-02-27",12,15,true
55,5,"페어링 안내가 친절합니다","처음 연결할 때 앱 안내가 잘 되어 있어 설정을 헤매지 않았습니다.","전유찬","2026-02-28",9,10,true
56,4,"대중교통에서 만족","기차와 버스에서 소음 감소가 확실합니다. 완전한 무음은 아니지만 충분합니다.","고다은","2026-03-01",27,29,true
57,5,"마감 품질이 좋습니다","버튼이나 힌지 느낌이 단단하고 유닛 도장도 깔끔합니다.","류준서","2026-03-02",20,21,true
58,2,"귀 압박감이 있었습니다","ANC를 강하게 켜면 귀가 먹먹한 느낌이 있습니다. 민감한 분은 참고하세요.","노수아","2026-03-03",14,22,true
59,5,"영상 감상에 좋아요","태블릿으로 드라마 볼 때 대사 전달이 선명하고 지연도 거의 못 느꼈습니다.","민재원","2026-03-04",24,26,true
60,4,"색상이 예쁩니다","실버 색상이 깔끔하고 고급스럽습니다. 먼지는 조금 잘 보입니다.","신채린","2026-03-05",7,8,true
61,5,"하루 종일 안정적입니다","업무 중 끊김 없이 사용했고 배터리 경고도 늦게 떠서 마음이 편했습니다.","하서준","2026-03-06",30,32,true
62,3,"전용 앱 알림이 많아요","기능은 좋은데 앱 알림이 생각보다 자주 떠서 설정을 조정했습니다.","김아윤","2026-03-07",8,12,true
63,4,"가성비는 할인 기준 좋아요","정가로는 고민되지만 할인받으면 충분히 만족할 만한 성능입니다.","이도겸","2026-03-08",19,24,true
64,5,"기대보다 선명한 통화","카페에서 통화했는데 상대방이 배경 소음이 적다고 했습니다.","박예준","2026-03-09",21,23,true
65,4,"음장감이 넓습니다","작은 이어폰인데도 답답한 느낌이 적고 라이브 음원에서 공간감이 좋습니다.","최서우","2026-03-10",16,18,true
66,1,"배송 중 포장이 찌그러졌습니다","제품은 정상 작동하지만 박스가 찌그러져 선물용으로는 아쉬웠습니다.","정유나","2026-03-11",6,17,true
67,5,"재구매 의사 있습니다","전에 쓰던 모델보다 ANC와 착용감이 모두 좋아졌습니다. 가족용으로 하나 더 살 예정입니다.","한도윤","2026-03-12",35,37,true
68,4,"작은 귀에도 안정적","가벼워서 빠질까 걱정했는데 생각보다 잘 고정됩니다.","오서현","2026-03-13",14,15,true
69,5,"공부할 때 집중이 잘 됩니다","도서관에서는 ANC를 약하게만 켜도 충분합니다. 화이트 노이즈가 거의 없습니다.","문준희","2026-03-14",23,25,true
70,3,"멀티포인트 전환이 가끔 느려요","대부분 잘 되지만 노트북에서 휴대폰으로 넘어갈 때 몇 초 늦을 때가 있습니다.","강예서","2026-03-15",13,16,true
71,5,"고급 이어폰다운 소리","음의 윤곽이 또렷하고 볼륨을 낮춰도 정보량이 유지됩니다.","신태민","2026-03-16",29,31,true
72,4,"마이크 음색이 자연스러워요","목소리가 기계적으로 들리지 않아 회의 녹음 품질이 괜찮았습니다.","윤다빈","2026-03-17",17,19,true
73,5,"여행용으로 만족합니다","비행기에서는 완전 차단은 아니지만 엔진 소리가 많이 낮아져 편했습니다.","배하준","2026-03-18",33,35,true
74,2,"고음이 조금 날카롭게 느껴짐","일부 곡에서 심벌 소리가 강하게 들립니다. EQ를 낮추면 괜찮아집니다.","임채아","2026-03-19",11,20,true
75,4,"케이스 배터리 표시가 정확합니다","충전 잔량 예측이 잘 맞아서 외출 전에 확인하기 편합니다.","서도윤","2026-03-20",10,11,true
76,5,"사용성이 좋습니다","꺼내고 넣는 동작이 자연스럽고 자동 일시정지도 잘 작동합니다.","장서연","2026-03-21",26,27,true
77,4,"팁 교체 후 훨씬 좋아졌습니다","처음에는 저음이 약했는데 팁을 바꾸니 밀폐가 잘 되어 만족도가 올라갔습니다.","권민재","2026-03-22",18,20,true
78,5,"AS 안내가 빨랐습니다","문의했을 때 답변이 빨랐고 제품 등록도 쉬웠습니다. 브랜드 신뢰가 생깁니다.","조하린","2026-03-23",12,13,true
79,3,"색상 선택지가 더 있으면 좋겠어요","성능은 만족하지만 밝은 색상이 하나 더 있었으면 좋겠습니다.","송지한","2026-03-24",7,9,true
80,5,"락 음악도 시원합니다","기타와 드럼이 뭉치지 않고 힘 있게 들립니다. 볼륨을 올려도 안정적입니다.","남예린","2026-03-25",24,26,true
81,4,"방수 성능 안심됩니다","운동 후 땀이 묻어도 문제 없었습니다. 물세척은 하지 않고 닦아 쓰고 있습니다.","유서준","2026-03-26",15,16,true
82,5,"작업 집중용으로 매일 사용","사무실 에어컨 소리와 주변 잡담이 줄어 업무 집중에 도움이 됩니다.","홍다현","2026-03-27",31,33,true
83,2,"한 번씩 충전 인식이 늦습니다","케이스에 넣었는데 충전 표시가 늦게 뜰 때가 있습니다. 접점 확인이 필요합니다.","안민서","2026-03-28",16,25,true
84,5,"선명하고 깨끗한 소리","먹먹함이 없고 보컬이 앞으로 잘 나옵니다. 장르를 크게 가리지 않습니다.","백우진","2026-03-29",27,28,true
85,4,"착용 감지 기능이 편해요","이어버드를 빼면 음악이 멈추고 다시 끼면 이어져서 자연스럽습니다.","전하윤","2026-03-30",13,14,true
86,5,"프리미엄 제품답습니다","패키지부터 앱 경험까지 전체적으로 완성도가 높습니다. 만족도가 큽니다.","고시온","2026-03-31",36,38,true
87,3,"ANC 압박감은 취향을 탑니다","소음 차단은 좋은데 오래 켜면 귀가 살짝 답답합니다. 약하게 설정해 씁니다.","류채원","2026-04-01",12,17,true
88,4,"중저음이 듣기 좋습니다","베이스가 단단하면서도 보컬을 가리지 않습니다. 대중음악에 잘 맞습니다.","노지안","2026-04-02",19,21,true
89,5,"아이폰과 연결이 매끄러워요","팝업 연결과 배터리 확인이 빨라서 사용 경험이 깔끔합니다.","민서준","2026-04-03",22,24,true
90,4,"안드로이드에서도 문제 없습니다","전용 앱으로 대부분 기능을 사용할 수 있었고 연결도 안정적이었습니다.","신예림","2026-04-04",18,20,true
91,5,"충전 케이스가 튼튼합니다","몇 번 가방 안에서 굴러다녔는데 흠집이 적고 힌지도 안정적입니다.","하도윤","2026-04-05",14,15,true
92,2,"볼륨 단계가 아쉽습니다","조용한 곳에서는 한 단계 차이가 크게 느껴집니다. 세밀한 조절이 있으면 좋겠습니다.","김서하","2026-04-06",10,18,true
93,5,"리모트 근무에 딱 좋아요","회의와 음악 감상을 오가도 연결이 안정적입니다. 책상 위 필수품이 됐습니다.","이주원","2026-04-07",29,30,true
94,4,"휴대성이 좋습니다","케이스가 작고 가벼워 작은 가방에도 쉽게 들어갑니다. 자석 고정도 좋습니다.","박하은","2026-04-08",16,17,true
95,5,"소리 분리도가 뛰어납니다","복잡한 편곡에서도 악기가 서로 묻히지 않습니다. 고음질 음원에서 차이가 납니다.","최지오","2026-04-09",34,36,true
96,3,"펌웨어 업데이트가 오래 걸렸어요","업데이트 후 성능은 안정적이지만 설치 시간이 조금 길었습니다.","정다윤","2026-04-10",8,12,true
97,5,"전체적으로 완성도가 높아요","음질, ANC, 착용감, 배터리 모두 고르게 좋습니다. 단점이 크게 느껴지지 않습니다.","한서진","2026-04-11",40,42,true
98,4,"출시 초반보다 안정적입니다","최근 업데이트 뒤 연결 끊김이 줄었습니다. 앱 반응도 빨라진 느낌입니다.","오유찬","2026-04-12",20,23,true
99,5,"부모님도 쉽게 쓰세요","터치 조작을 간단하게 바꿔드리니 어렵지 않게 사용하십니다. 통화도 잘 됩니다.","문소윤","2026-04-13",17,18,true
100,4,"가격만 빼면 만족스럽습니다","제품 자체는 훌륭합니다. 정가가 조금 높지만 성능과 편의성은 충분합니다.","강지후","2026-04-14",25,28,true
